Tool,Affected Version,,API,Known,Fix status,Confirm status,Rule,Fuzzing Rule,Corner Case,Symptom,Issue link
M3,1.13.1,,torch.Tensor.is_coalesced,new,not yet,confirmed,Large Input Tensor,Tensor Corner Case Generator Type 2,Case_x,Crash,https://github.com/pytorch/pytorch/issues/92790
M3,1.13.1,,torch.nn.functional.ctc_loss,known,not yet,confirmed,Large List Element,List Corner Case Generator,Case_x,Inconsistent results,https://github.com/pytorch/pytorch/issues/107433
M1,1.13.1,,torch.nn.functional.adaptive_avg_pool2d,new,not yet,confirmed,Large List Element,List Corner Case Generator,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107548
M3,1.13.1,,torch.tensordot,new,not yet,confirmed,Shape Mismatch,Tensor Shape Mismatch,Tensor Shape Mismatch,Crash,https://github.com/pytorch/pytorch/issues/91589
M1,1.13.1,,torch.nn.AdaptiveAvgPool2d,new,not yet,confirmed,Large Integer Argument,Preemptive Corner Case Generator Type 1 ,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107543
M1,1.13.1,,torch.eye,new,not yet,confirmed,Large Integer Argument,Preemptive Corner Case Generator Type 1 ,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107550
M3,1.13.1,,torch.nn.functional.embedding_bag,new,not yet,confirmed,Shape Mismatch,Tensor Shape Mismatch,Tensor Shape Mismatch,Inconsistent results,https://github.com/pytorch/pytorch/issues/107432
M3,1.13.1,,torch.linalg.ldl_solve,new,not yet,confirmed,Shape Mismatch,Tensor Shape Mismatch,Tensor Shape Mismatch,Segfault,https://github.com/pytorch/pytorch/issues/91611
M1,1.13.1,,torch.arctanh,known,fixed,,NEGATIVE_INPUT_TENSOR,Preemptive Corner Case Generator Type 1 ,Case_n,Inconsistent results,https://github.com/pytorch/pytorch/issues/107528
M1,1.13.1,,torch.nn.functional.upsample_bilinear,new,not yet,confirmed,Large List Element,List Corner Case Generator,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107546
M1,1.13.1,,torch.nn.MaxUnpool3d,new,not yet,confirmed,Negative Large Input Tensor,Tensor Corner Case Generator Type 1,Case_n,integer overflow,https://github.com/pytorch/pytorch/issues/107555
M1,1.13.1,,torch.gather,,not yet,confirmed,Negative Tensor Value,Tensor Corner Case Generator Type 2,Case_n,out of bound access,https://github.com/pytorch/pytorch/issues/107540
M3,1.13.1,,torch.nn.functional.adaptive_max_pool3d,new,fixed,,Zero List Element,List Corner Case Generator,Case_x,Floating Point Exception,https://github.com/pytorch/pytorch/issues/92777
M1,1.13.1,,torch.nn.Upsample,new,not yet,confirmed,Large Integer Argument,Preemptive Corner Case Generator Type 1 ,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107553
M3,1.13.1,,torch.linalg.ldl_solve,new,not yet,confirmed,Negative Large Input Tensor,Tensor Corner Case Generator Type 1,Case_n,Memory Corruption,https://github.com/pytorch/pytorch/issues/92782
M3,1.13.1,,torch.nn.functional.lp_pool1d,,not yet,confirmed,Zero Argument,Preemptive Corner Case Generator Type 1,Case_x,Division by Zero,https://github.com/pytorch/pytorch/issues/91593
M3,1.13.1,,torch.nn.AdaptiveMaxPool3d,new,fixed,,Zero Argument,Preemptive Corner Case Generator Type 1,Case_x,Floating Point Exception,https://github.com/pytorch/pytorch/issues/92781
M1,1.13.1,,torch.nn.ReplicationPad3d,new,not yet,confirmed,Large Integer Argument,Preemptive Corner Case Generator Type 1 ,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/107544
M3,1.13.1,,torch.nn.functional.fractional_max_pool2d,known,fixed,,Dimension Mismatch,Tensor Shape Mismatch,Tensor Shape Mismatch,Segfault,https://github.com/pytorch/pytorch/issues/91659
M1,1.13.1,,torch.set_num_interop_threads,new,not yet,confirmed,Large Integer Argument,Preemptive Corner Case Generator Type 1 ,Case_x,Aborted,https://github.com/pytorch/pytorch/issues/107429
M3,1.13.1,,torch.linalg.ldl_solve,new,not yet,confirmed,Negative Input Tensor,Tensor Corner Case Generator Type 1,Case_n,Aborted,https://github.com/pytorch/pytorch/issues/91611
M3,1.13.1,,torch.nn.AdaptiveMaxPool2d,known,not yet,confirmed,Large List Element,List Corner Case Generator,Case_x,integer overflow,https://github.com/pytorch/pytorch/issues/91552
M1,1.13.1,,torch.lu_solve,new,not yet,confirmed,Negative Large Input Tensor,Tensor Corner Case Generator Type 1,Case_n,Inconsistent results,https://github.com/pytorch/pytorch/issues/107542
