Library,Advisory Link,Commit,Parent Module,API,Anomaly
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9cr2-8pwr-fhfq,https://github.com/tensorflow/tensorflow/commit/f3f9cb38ecfe5a8a703f2c4a8fead434ef291713,tf.array_ops,tf.raw_ops.QuantizeAndDequantizeV3,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-r26c-679w-mrjm,https://github.com/tensorflow/tensorflow/commit/f3cf67ac5705f4f04721d15e485e192bb319feed,tf.quantization,tf.quantization.fake_quant_with_min_max_vars_gradient,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mv8m-8x97-937q,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.random,tf.random.gamma,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cv2p-32v3-vhwq,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.raw_ops,tf.raw_ops.RandomPoissonV2,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mh3m-62v7-68xg,https://github.com/tensorflow/tensorflow/commit/4419d10d576adefa36b0e0a9425d2569f7c0189f,tf.raw_ops,tf.raw_ops.Unbatch,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jqm7-m5q7-3hm5,https://github.com/tensorflow/tensorflow/commit/da0d65cdc1270038e72157ba35bf74b85d9bda11,tf.raw_ops,tf.raw_ops.DrawBoundingBoxes,Non float input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fqxc-pvf8-2w9v,https://github.com/tensorflow/tensorflow/commit/aed36912609fc07229b4d0a7b44f3f48efc00fd0,tf.raw_ops,tf.raw_ops.Eig,Bad input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-37jf-mjv6-xfqw,https://github.com/tensorflow/tensorflow/commit/27a65a43cf763897fecfa5cdb5cc653fc5dd0346,tf.raw_ops,tf.raw_ops.Conv2DBackpropInput,Empty input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qhw4-wwr7-gjc5,https://github.com/tensorflow/tensorflow/commit/c8ba76d48567aed347508e0552a257641931024d,tf.raw_ops,tf.raw_ops.EmptyTensorList,More than one dimension
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p7hr-f446-x6qf,https://github.com/tensorflow/tensorflow/commit/83dcb4dbfa094e33db084e97c4d0531a559e0ebf,tf.sparse,tf.sparse.cross,Non scalar input
