Library,Advisory Link,Parent Module,API,Anomaly
Pytorch,https://github.com/pytorch/pytorch/commit/b6b1c01adfdadf93a4a1d30c3661ff177412a876,torch,torch.view_as_complex,Zero argument
Pytorch,https://github.com/pytorch/pytorch/commit/c010ef7f0c6d837809a7e973048afac76373e3de,torch.nn,torch.nn.Conv3d,N.A
Pytorch,https://github.com/pytorch/pytorch/commit/42b4a7132e7c6f1df963b473d1583e4791fb1808,torch,torch.nn.functional.embedding,scalar input
Pytorch,https://github.com/pytorch/pytorch/issues/42281,torch,torch.Generator,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/24137,torch,torch.distributed.broadcast,Boolean dtype
Pytorch,https://github.com/pytorch/pytorch/issues/327,torch,torch.IntTensor,Integer tensors
Pytorch,https://github.com/pytorch/pytorch/issues/327,torch,torch.FloatTensor,Integer tensors
Pytorch,https://github.com/pytorch/pytorch/issues/38764,torch,torch.nn.functional.max_pool1d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/commit/63b1ae69831cd21bc4d6059a5854bc1155a152c9,torch,torch.remainder,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/commit/7aec364bdf9ed7297b77e8445a6a6d4116265dde,torch,torch.gather,ind.dim != output.dim
Pytorch,https://github.com/pytorch/pytorch/issues/33300,torch,torch.zeros().numpy,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/33001,torch,torch.FloatTensor,Single element list
Pytorch,https://github.com/pytorch/pytorch/commit/a64d0ffe81b250889a3e6670daa9c7d07d946e32,torch.nn.functional,torch.nn.functional.pdist,batch sizes >= 46342
Pytorch,https://github.com/pytorch/pytorch/commit/ddff014b79303e5239d5cb876ba97143cad6405a,torch.utils.tensorboard,torch.utils.tensorboard.SummaryWriter.add_images,uint8 NCHW tensor
Pytorch,https://github.com/pytorch/pytorch/commit/136bb07a93b779acbc84ff341bc397551a8cfcc2,torch,torch.histc,inf
Pytorch,https://github.com/pytorch/pytorch/commit/ec8e75ea92ae2b5ea73b4aeb3ec7cb39e9f95db9,torch,torch.sum,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/24309,torch.nn,nn.AvgPool2d,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/commit/74828be4a7d0d2dba3f0ec3f6e79265cdfae5329,torch,torch.cat,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/commit/071971476d7431a24e527bdc181981678055a95d,torch.distributions.binomial,torch.distributions.binomial.Binomial,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/commit/071971476d7431a24e527bdc181981678055a95d,torch.distributions.binomial,torch.distributions.binomial.Binomial,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/commit/d4712ee218cd6af3c2096ca7a76fef350173b703,torch,torch.isinf,Integer tensors
Pytorch,https://github.com/pytorch/pytorch/issues/13324,torch.nn.utils.rnn,torch.nn.utils.rnn.pack_padded_sequence,input in increasing order
Pytorch,https://github.com/pytorch/pytorch/issues/9264,torch.nn,torch.nn.Conv3d,Specific tensor size
Pytorch,https://github.com/pytorch/pytorch/issues/3498,torch,N.A,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/86326,torch,torch.round,Integer tensors
Pytorch,https://github.com/pytorch/pytorch/issues/86279,torch,torch.multinomial,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/86162,torch.nn.functional,torch.nn.functional.one_hot,int32 and int16 tensor
Pytorch,https://github.com/pytorch/pytorch/issues/86074,torch,torch.remainder,Integer input
Pytorch,https://github.com/pytorch/pytorch/issues/85852,torch,torch.mm,Same input and output 
Pytorch,https://github.com/pytorch/pytorch/issues/85217,torch,torch.native_batch_norm,Invalid argument
