Library,Commit,bug report,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/603097be18824a33069addec7b8f14ba5c3bc67a,"For OneDNN MaxPooling training, it will save indices as a workspace for backward, but for inference, indices are not necessary",2021-03-16 0:53:05,1,missing,gradient status,performance bug,add,if checker,tensor is tracking gradient,tensor indices,,,
pytorch,https://github.com/pytorch/pytorch/commit/0a7eef9bcf6d1f8b5531102342ffc21f24beb58d,[BE] Remove stale CUDA version check from cpp_extension.py. As at least CUDA-11.x is needed to build PyTorch on latest trunk. But still skip `--generate-dependencies-with-compile` if running on ROCm,2023-11-10 19:20:08,1,unnecessary,device version,version incompatibility,remove,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/ae2c219de2fd032036aa1d2a04101f1c23fd5bbe,"Revert ""[BE] Remove stale CUDA version check from cpp_extension.py",2023-11-10 15:46:13,1,unnecessary,device version,version incompatibility,remove,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ccca60927cdccde63d6a1d40480950f24e9877a, [BE] Remove stale CUDA version check from cpp_extension.py. As at least CUDA-11.x is needed to build PyTorch on latest trunk,2023-11-10 13:54:19,1,unnecessary,device version,version incompatibility,remove,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/93cea394dee1315c7a85ead7bb7af21363157c4f,Currently we compare `CUDA_INCLUDE_DIRS` and expect exact equality with `CUDAToolkit_INCLUDE_DIR` however this fails in the presense of symbolic links or for split installs where there are multiple include paths.,2023-11-07 21:51:18,3,improper,device version,version incompatibility,update,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/6b4c686b9a33a1503a4a4133f9067dd31e0822f7,"Forward fix a performance regression caused by #110510. When a model is run once, all those kernel pointers are initialized and removing the if-nullptr check will cause those loadKernel be unnecessarily executed again when we rerun the foward function.",2023-10-08 0:06:44,2,improper,device version,version incompatibility,update,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/45296f87ec865a7a500a6fd98353035c040d0cb7,"Prior to this change ROCm was not exiting check_cuda, causing an exception at packaging.version.parse(torch.version.cuda),",2023-03-20 23:19:31,1,insufficient,device version,version incompatibility,extend,if checker,device version is valid,device version,,,
pytorch,https://github.com/pytorch/pytorch/commit/bede7d999523d02e636a8981c0dff233b67f1a62,It does not check if `kind` variable fits in array of pointer called `names`,2020-04-16 11:58:03,1,improper,edge cases,crash,update,macro checker,others,vector,,,
pytorch,https://github.com/pytorch/pytorch/commit/f6639359357452de8bfc691430396ded98ea399c,"`TORCH_CHECK(i<UINT32_MAX)` is always false, it should be `TORCH_CHECK(iterShape[i] < UINT32_MAX)`",2024-01-07 23:55:35,1,improper,edge cases,runtime error,update,checker api,tensor size is valid,tensor data type,,,
pytorch,https://github.com/pytorch/pytorch/commit/cf732053e4f6b93b0a93006613552cd97f415b80," Today if we're accessing out of bound embedding rows, it'll either go through or throw IMA. This is not ideal - adding bound checks. This will probably slow things down - need to benchmark it.",2023-03-16 22:01:43,,missing,edge cases,performance bug,add,checker api,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/175ccfc4c8443bcc65c87d9c942272d3ebf16b0b,flatbuffer module fields are not initialized,2023-09-21 19:19:17,1,missing,null pointer dereference,segmentation fault,add,macro checker,others,module buffer,,,
