Library,Commit,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/603097be18824a33069addec7b8f14ba5c3bc67a,2021-03-16 0:53:05,1,missing,gradient status,performance bug,add,if checker,tensor is tracking gradient,tensor indices,,,
pytorch,https://github.com/pytorch/pytorch/commit/0a7eef9bcf6d1f8b5531102342ffc21f24beb58d,2023-11-10 19:20:08,1,improper,device version,version incompatibility,remove,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/ae2c219de2fd032036aa1d2a04101f1c23fd5bbe,2023-11-10 15:46:13,1,improper,device version,version incompatibility,update,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/7ccca60927cdccde63d6a1d40480950f24e9877a,2023-11-10 13:54:19,1,improper,device version,version incompatibility,remove,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/93cea394dee1315c7a85ead7bb7af21363157c4f,2023-11-07 21:51:18,3,improper,device version,version incompatibility,update,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/6b4c686b9a33a1503a4a4133f9067dd31e0822f7,2023-10-08 0:06:44,2,improper,device version,version incompatibility,update,if checker,device version is valid,cuda version,,,
pytorch,https://github.com/pytorch/pytorch/commit/45296f87ec865a7a500a6fd98353035c040d0cb7,2023-03-20 23:19:31,1,improper,device version,version incompatibility,update,if checker,device version is valid,device version,,,
pytorch,https://github.com/pytorch/pytorch/commit/bede7d999523d02e636a8981c0dff233b67f1a62,2020-04-16 11:58:03,1,improper,edge cases,crash,update,macro checker,others,vector,,,
pytorch,https://github.com/pytorch/pytorch/commit/f6639359357452de8bfc691430396ded98ea399c,2024-01-07 23:55:35,1,improper,edge cases,runtime error,update,checker api,tensor size is valid,tensor data type,,,
pytorch,https://github.com/pytorch/pytorch/commit/cf732053e4f6b93b0a93006613552cd97f415b80,2023-03-16 22:01:43,,improper,edge cases,performance bug,add,checker api,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/175ccfc4c8443bcc65c87d9c942272d3ebf16b0b,2023-09-21 19:19:17,1,improper,null pointer dereference,segmentation fault,add,macro checker,others,module buffer,,,
pytorch,https://github.com/pytorch/pytorch/commit/bde7b81f34925491fbcbb9e355697eb594e36923,2023-05-08 17:56:44,,improper,null pointer dereference,incorrect functionality,replace,if checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/2e224d62b6afecc78d885d0a4e160354950f6424,2019-08-27 21:43:11,,improper,device availability,incorrect functionality,update,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/30e1c74dc19ae2b622b46ebcdb7972c42775ac80,2021-08-18 9:44:10,,improper,device availability,incorrect functionality,update,if checker,device is available,xla,,,
pytorch,https://github.com/pytorch/pytorch/commit/5a63c452e638dad8e077887ad8d2c94ff0e23917,2021-01-08 0:20:21,,improper,device availability,crash,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/611080a118fff166c85f3200d860f3b059abac6f,2020-11-06 13:34:25,2,improper,device version,version incompatibility,update,if checker,device version is valid,CUDA,,,
