,https://github.com/tensorflow/tensorflow/commit/6045ccea11b31174d5d9b147fddedf1b5f5af384,2024-02-09 21:00:51,No
5169,https://github.com/tensorflow/tensorflow/commit/a82e0e7922d6dc657b42ef2b3a7a1a52194454c8,2018-05-01 12:10:07,no
1918,https://github.com/tensorflow/tensorflow/commit/9e62869465573cb2d9b5053f1fa02a81fce21d69,2021-07-29 19:35:05,Yes
1071,https://github.com/tensorflow/tensorflow/commit/d65f58d94e9847da38336ae1d6807bf83f787610,2022-08-31 14:46:41,No
234,https://github.com/tensorflow/tensorflow/commit/fae6dd87b5f8f2058fa33c4523d5717b4caa7a41,2023-10-05 18:10:14,No
2621,https://github.com/tensorflow/tensorflow/commit/82f4f50f4fbfd74aceb741ff097d6c42688b5023,2020-10-14 18:39:09,Yes
2463,https://github.com/tensorflow/tensorflow/commit/b6be9714e878a7dd0d1405bd7a83e021ba4b561a,2020-12-20 16:15:39,No
1688,https://github.com/tensorflow/tensorflow/commit/4216a88f65299713ec9df803ae1660d607e56abe,2021-11-17 09:16:13,No
4803,https://github.com/tensorflow/tensorflow/commit/e66aea59e0367618f924ffe3bc3b1140be8eaf45,2018-10-28 20:30:21,Yes
5267,https://github.com/tensorflow/tensorflow/commit/13ef0af4867477cdda7e0b294e61560c2952df42,2018-03-25 06:01:31,Yes
3956,https://github.com/tensorflow/tensorflow/commit/fbb355779e65a003954ec17f78af1ebe15ab71c3,2019-07-24 14:09:48,no
4844,https://github.com/tensorflow/tensorflow/commit/9b558126e31d25ec4e82cb4f50033d6eca44349a,2018-10-08 16:03:40,No
3008,https://github.com/tensorflow/tensorflow/commit/41aea74ea2b693ab772ccdd181c546f4c96c3f4e,2020-06-02 13:54:19,No
679,https://github.com/tensorflow/tensorflow/commit/3bea547a3a4b638cc3b5f70bf30d62b2c433c9a0,2023-02-21 06:11:18,No
5346,https://github.com/tensorflow/tensorflow/commit/b9018073ec1afc7dfc302ab171db8bf5b177c2dd,2018-02-07 01:09:14,No
1883,https://github.com/tensorflow/tensorflow/commit/234a51acec19b5728a07915e89eb8f01f4c80b06,2021-08-03 18:22:40,No
775,https://github.com/tensorflow/tensorflow/commit/7c13bb5e2604efc48823c816409b73104d9fd507,2023-01-23 20:29:20,No
1694,https://github.com/tensorflow/tensorflow/commit/0aaaae6eca5a7175a193696383f582f53adab23f,2021-11-13 11:23:57,No
4699,https://github.com/tensorflow/tensorflow/commit/758fcb5909dc31ac6c2e0c424b1e412379d96e7b,2018-12-12 19:31:33,No
6029,https://github.com/tensorflow/tensorflow/commit/2098b9abcf20d2c9694055bbfd6997bc00b73578,2016-10-05 12:55:48,No
300,https://github.com/tensorflow/tensorflow/commit/aa1204b2220383bb0ea6fc636c1e10e1617a55aa,2023-08-22 15:18:14,No
1317,https://github.com/tensorflow/tensorflow/commit/c7d2d1a3ccd76c73d2467651cf5328eb45eae198,2022-05-16 15:16:54,No
4429,https://github.com/tensorflow/tensorflow/commit/8aef83c4004475455bea353e2ae1908d2cd46dca,2019-03-29 16:47:13,No
540,https://github.com/tensorflow/tensorflow/commit/7ee6022b17404a7232c887002ff6eb43d008be6d,2023-04-11 18:58:05,Yes
4733,https://github.com/tensorflow/tensorflow/commit/d3125a94f3b160ae4bb1ca48ef4c67cc65071c8c,2018-11-29 14:35:47,No
1783,https://github.com/tensorflow/tensorflow/commit/f410212e373eb2aec4c9e60bf3702eba99a38aba,2021-09-30 09:43:41,Yes
2355,https://github.com/tensorflow/tensorflow/commit/feeab90bfcb97ea88bfa0c8f7eef8d3189a548fe,2021-02-08 10:49:02,No
5946,https://github.com/tensorflow/tensorflow/commit/12940319ebf08e2fb1bb92b82e309c20759e44a4,2016-12-12 18:45:25,Yes
2005,https://github.com/tensorflow/tensorflow/commit/c87e93e54f84205377693d1ae22ed728390f695f,2021-06-20 23:30:32,No
2015,https://github.com/tensorflow/tensorflow/commit/c549a303b54a6407145509cfca020052b34e8daf,2021-06-14 23:28:00,no
2542,https://github.com/tensorflow/tensorflow/commit/6674647c205921cbe9e2bdbb160051aa7ba4054b,2020-11-16 15:07:53,Yes
388,https://github.com/tensorflow/tensorflow/commit/8b116e21d125efe69764316a86af4f109bb3d5b6,2023-07-10 16:19:40,No
