Library,Commit,API,Advisory Link,Bug category,Front-end Root Cause Explanation,Backend root cause,Impact L1,Impact L2,Impact L3,Fix Description,Good file Name
Tensorflow,https://github.com/tensorflow/tensorflow/commit/ee50d1e00f81f62a4517453f721c634bbb478307,tensorflow.python.ops.nn_ops.fractional_avg_pool_v2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f49c-87jh-g47q,Improper Input Validation,"nn_ops.fractional_avg_pool_v2 and nn_ops.fractional_max_pool_v2 require the first and fourth elements of their parameter pooling_ratio to be equal to 1.0, as pooling on batch and channel dimensions is not supported.",Lack of validating tensor malformed shape values received from front-end,Double Free,N.A,N.A,Update macro checker to check shape compatibility,tensorflow/core/kernels/fractional_avg_pool_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/ee50d1e00f81f62a4517453f721c634bbb478307,tensorflow.python.ops.nn_ops.fractional_max_pool_v2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f49c-87jh-g47q,Improper Input Validation,"nn_ops.fractional_avg_pool_v2 and nn_ops.fractional_max_pool_v2 require the first and fourth elements of their parameter pooling_ratio to be equal to 1.0, as pooling on batch and channel dimensions is not supported.",Lack of validating tensor malformed shape values received from front-end,Double Free,N.A,N.A,Update macro checker to check shape compatibility,tensorflow/core/kernels/fractional_max_pool_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/da66bc6d5ff466aee084f9e7397980a24890cd15,tf.raw_ops.ParallelConcat,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-6wfh-89q8-44jq,Improper Input Validation,"When running with XLA, tf.raw_ops.ParallelConcat segfaults with a nullptr dereference when given a parameter shape with rank that is not greater than zero.",Lack of validating tensor malformed shape values received from front-end,Null dereference,N.A,N.A,Check for unexpected scalars in the shape argument to ParallelConcat. ,tensorflow/core/ops/array_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/728113a3be690facad6ce436660a0bc1858017fa,tf.raw_ops.RandomShuffle,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-gf97-q72m-7579,Improper Input Validation,Feeding negative integer value as the length value,Lack of validating if All lengths must be positive,Null dereference,N.A,N.A,Update macro checker to only accept positive integer value for the length,tensorflow/compiler/tf2xla/kernels/tensor_list_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/980b22536abcbbe1b4a5642fc940af33d8c19b69,tf.raw_ops.LookupTableImportV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-94mm-g2mv-8p7r,Improper Input Validation,The function tf.raw_ops.LookupTableImportV2 cannot handle scalars in the values parameter and gives an NPE.,Lack of validating if the backend can handle scalar values,Null dereference,N.A,N.A,Fixes shape inference of LookupTableImportV2 to handle scalar values. ,tensorflow/core/ops/lookup_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/8a47a39d9697969206d23a523c977238717e8727,tf.raw_ops.QuantizedMatMulWithBiasAndDequantize,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-49rq-hwc3-x77w,Improper Input Validation,NPE in QuantizedMatMulWithBiasAndDequantize with MKL enable,Lack of validating if min` must be rank 0 but is rank,Null dereference,N.A,N.A,Add check for min-max tensors in quantized matmul ,tensorflow/core/kernels/mkl/mkl_qmatmul_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/1295ae4dbb52fe06b19733b0257e2340d7b63b8d,tf.raw_ops.AvgPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rcf8-g8jv-vg6p,Improper Input Validation,"If the stride and window size are not positive for tf.raw_ops.AvgPoolGrad, it can give an FPE.",Lack of checking if the sliding window ksize field for dimension is positive,Floating Point Exception,N.A,N.A,Validate that stride and window size are positive ,tensorflow/compiler/tf2xla/kernels/pooling_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3f9cb38ecfe5a8a703f2c4a8fead434ef291713,tf.raw_ops.QuantizeAndDequantizeV3,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9cr2-8pwr-fhfq,Improper Input Validation,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,"QuantizeAndDequantizeV3Op, which accepts `num_bits` as a tensor, has a precondition that it should be rank <= 1 and the number of elements should be 1.",N.A,check failure,Denial of service,Validate the rank and number of elements of the num_bits tensor for QuantizeAndDequantizeV3.,tensorflow/core/kernels/quantize_and_dequantize_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3cf67ac5705f4f04721d15e485e192bb319feed,tf.quantization.fake_quant_with_min_max_vars_gradient,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-r26c-679w-mrjm,Improper Input Validation,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Lack of validating if min` must be rank 0 but is rank,N.A,check failure,Denial of service,Add IsScalar / IsVector (rank) checks to input min/max tensors for FakeQuantWithMinMaxVarsPerChannelGradientOp and FakeQuantWithMinMaxVarsGradientOp.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.random.gamma,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mv8m-8x97-937q,Improper Input Validation,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Lack of size checking for large input shape and rates. ,N.A,check failure,Denial of service," Fix size check for large input shape and rates. To address a check failure for exceedingly large output shapes, we need to `AppendShapeWithStatus`.",tensorflow/core/kernels/random_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/552bfced6ce4809db5f3ca305f60ff80dd40c5a3,tf.raw_ops.RandomPoissonV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cv2p-32v3-vhwq,Improper Input Validation,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Lack of size checking for large input shape and rates. ,N.A,check failure,Denial of service," Fix size check for large input shape and rates. To address a check failure for exceedingly large output shapes, we need to `AppendShapeWithStatus`.",tensorflow/core/kernels/random_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/4419d10d576adefa36b0e0a9425d2569f7c0189f,tf.raw_ops.Unbatch,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mh3m-62v7-68xg,Improper Input Validation,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Lack of checking whether input argument is a scalar before trying to extract value.,N.A,check failure,Denial of service, Fix check failure in Unbatch Op kernel by checking whether input argument is a scalar before trying to extract value.,tensorflow/core/kernels/batch_kernels.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/da0d65cdc1270038e72157ba35bf74b85d9bda11,tf.raw_ops.DrawBoundingBoxes,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jqm7-m5q7-3hm5,Data Type Issue,"An input tensor with a half data type refers to a tensor that uses the float16 data type. The float16 data type, also known as half-precision floating-point format, represents a floating-point number with reduced precision compared to the standard float32 data type.",Using Improper Data Type,N.A,check failure,Denial of service, Fix dtype bug in draw bounding boxes. Boxes always needs to be type `float`.,tensorflow/core/kernels/image/draw_bounding_box_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/aed36912609fc07229b4d0a7b44f3f48efc00fd0,tf.raw_ops.Eig,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fqxc-pvf8-2w9v,Improper Input Validation,"Eig can be fed an incorrect Tout input, resulting in a CHECK fail that can trigger a denial of service attack.","If calling the `tf.raw_ops` versions, it's possible to provide bad output scalar types (e.g. for `Eig`), causing a failing check when trying to actually compute outputs.",N.A,check failure,Denial of service, Check correct input/output scalar types for LinearAlgebraOp. ,tensorflow/core/kernels/linalg/linalg_ops_common.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/27a65a43cf763897fecfa5cdb5cc653fc5dd0346,tf.raw_ops.Conv2DBackpropInput,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-37jf-mjv6-xfqw,Improper Input Validation,"In Python, a zero integer list element refers to a list element that has the value of zero (0). It is simply a list element that holds the integer value of zero.","For empty `out_backprop` inputs (e.g. `[3, 1, 0, 1]`), the current CPU/GPU kernels fail (one with dnnl, the other with cudnn).",N.A,check failure,Denial of service,Added a shortcut path to return a zero input.,tensorflow/core/kernels/conv_grad_input_ops.h
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c8ba76d48567aed347508e0552a257641931024d,tf.raw_ops.EmptyTensorList,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qhw4-wwr7-gjc5,Improper Input Validation,"If EmptyTensorList receives an input element_shape with more than one dimension, it gives a CHECK fail that can be used to trigger a denial of service attack.",invalid `element_shape`,N.A,check failure,Denial of service,Check that given `element_shape` is valid. Add graph/eager unit tests. Graph mode was already ok but eager mode was not.,tensorflow/core/kernels/list_kernels.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/83dcb4dbfa094e33db084e97c4d0531a559e0ebf,tf.sparse.cross,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p7hr-f446-x6qf,Improper Input Validation,"If tf.sparse.cross receives an input separator that is not a scalar, it gives a CHECK fail that can be used to trigger a denial of service attack.",Lack of checking if the Input separator should be a scalar,N.A,check failure,Denial of service, Fix check failure in SparseCrossV2Op by adding check for scalar value for separator.,tensorflow/core/kernels/sparse_cross_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/611d80db29dd7b0cfb755772c69d60ae5bca05f9,tf.raw_ops.Conv2D,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q5jv-m6qw-5g37,Improper Input Validation,"If Conv2D is given empty input and the filter and padding sizes are valid, the output is all-zeros. This causes division-by-zero floating point exceptions that can be used to trigger a denial of service attack.","If the input is empty (so convolution is only applied to padding), and if the filter and padding sizes are still valid, then the output will be all-zeros.  This previously caused a division-by-zero crash in multiple kernels.",N.A,division by zero,Denial of service,Check if the input is empty,tensorflow/core/kernels/conv_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bf6b45244992e2ee543c258e519489659c99fb7f,tf.raw_ops.AudioSummaryV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g9h5-vr8m-x2h4,Improper Input Validation,"When AudioSummaryV2 receives an input sample_rate with more than one element, it gives a CHECK fails that can be used to trigger a denial of service attack.",Lack of checking if sample_rate must be rank-0 or contain a single value,N.A,check failure,Denial of service,Check that `sample_rate` has the required shape.,tensorflow/core/kernels/summary_audio_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c1f491817dec39a26be3c574e86a88c30f3c4770,tf.raw_ops.CollectiveGather,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fhfc-2q7x-929f,Improper Input Validation,"When CollectiveGather receives an scalar input input, it gives a CHECK fails that can be used to trigger a denial of service attack.",Lack of checking input should have rank > 0,N.A,check failure,Denial of service,"The fix is required only for Eager mode, graph mode already checked for input shape in shape inference pass.",tensorflow/core/kernels/collective_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/cf70b79d2662c0d3c6af74583641e345fc939467,tf.raw_ops.SetSize,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wq6q-6m32-9rv9,Improper Input Validation,"When SetSize receives an input set_shape that is not a 1D tensor, it gives a CHECK fails that can be used to trigger a denial of service attack.",Lack of checking Shape must be a 1D tensor,N.A,check failure,Denial of service,"Check that given input is a 1D tensor, as required.",tensorflow/core/kernels/set_kernels.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/3db59a042a38f4338aa207922fa2f476e000a6ee,tf.raw_ops.TensorListFromTensor,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9v8w-xmr4-wgxp,Improper Input Validation,"When TensorListFromTensor receives an element_shape of a rank greater than one, it gives a CHECK fail that can trigger a denial of service attack.",Lack of checking if element_shape must be at most rank 1,N.A,check failure,Denial of service,Check for element_shape in TensorListFromTensor,tensorflow/core/kernels/list_kernels.h
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bb03fdf4aae944ab2e4b35c7daa051068a8b7f61,tf.raw_ops.TensorListScatter,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vm7x-4qhj-rrcq,Improper Input Validation,"When TensorListScatter and TensorListScatterV2 receive an element_shape of a rank greater than one, they give a CHECK fail that can trigger a denial of service attack.",Lack of Checking element_shape must be at most rank 1 but,N.A,check failure,Denial of service,Check element_shape must be at most rank 1 but,tensorflow/core/kernels/list_kernels.h
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bb03fdf4aae944ab2e4b35c7daa051068a8b7f61,tf.raw_ops.TensorListScatterV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vm7x-4qhj-rrcq,Improper Input Validation,"When TensorListScatter and TensorListScatterV2 receive an element_shape of a rank greater than one, they give a CHECK fail that can trigger a denial of service attack.",Lack of Checking element_shape must be at most rank 1 but,N.A,check failure,Denial of service,element_shape must be at most rank 1 but has,tensorflow/core/kernels/list_kernels.h
Tensorflow,https://github.com/tensorflow/tensorflow/commit/f3cf67ac5705f4f04721d15e485e192bb319feed,tf.quantization.fake_quant_with_min_max_vars_per_channel_gradient,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h7ff-cfc9-wmmh,Improper Input Validation,"When tf.quantization.fake_quant_with_min_max_vars_per_channel_gradient receives input min or max of rank other than 1, it gives a CHECK fail that can trigger a denial of service attack.",Lack of adding IsVector (rank) checks,N.A,check failure,Denial of service, Add IsScalar / IsVector (rank) checks to input min/max tensors for FakeQuantWithMinMaxVarsPerChannelGradientOp and FakeQuantWithMinMaxVarsGradientOp.,tensorflow/core/kernels/fake_quant_ops.cc
